rank,title,singer,cnt,year
61,The 8th Album `PLAY PAUSE Ver.`,슈퍼주니어 (Super Junior),58734,2017
62,OUR TWENTY FOR,위너(WINNER),57502,2017
63,HIGH FIVE,틴 탑 (Teen Top),57409,2017
64,The Power Of Music - The 4th Album Repackage (Chinese Ver.),EXO,56596,2017
65,Purple,마마무 (Mamamoo),55589,2017
66,Pink UP,에이핑크 (Apink),53675,2017
67,CNBLUE 7TH MINI ALBUM 7℃N,씨엔블루 (CNBLUE),53559,2017
68,꽃갈피 둘,아이유 (IU),49862,2017
69,PAGE TWO,TWICE,49748,2017
70,WEME,위키미키 (Weki Meki),49476,2017
71,THE BOYZ DEBUT ALBUM [THE FIRST],더보이즈(THE BOYZ),48971,2017
72,MOVE-ing - The 2nd Album Repackage,태민 (TAEMIN),48378,2017
73,WHITE NIGHT,태양,47365,2017
74,Skool Luv Affair,방탄소년단,46780,2017
75,Dream Part.02,아스트로(ASTRO),46285,2017
76,3rd Mini Album `Going Seventeen`,세븐틴,45893,2017
77,Lovelyz 2nd Album 'R U Ready?',러블리즈,44874,2017
78,My Decade,Jessica (제시카),44778,2017
79,ROSE,B.A.P,43836,2017
80,3rd Mini Album [Fall in Lovelyz],러블리즈,43687,2017
81,The 1st Mini Album `HI! PRISTIN`,PRISTIN (프리스틴),43300,2017
82,DARK&WILD,방탄소년단,42953,2017
83,2nd Mini Album Whisper,빅스LR,42762,2017
84,TWICEcoaster : LANE 1,TWICE,42632,2017
85,BOYFRIEND 5th EP `NEVER END`,보이프렌드(Boyfriend),41964,2017
86,THE 1ST MINI ALBUM PART.1 [EVER],정세운,41586,2017
87,SUNRISE,DAY6,39225,2017
88,MOONRISE,DAY6,39008,2017
89,CALLING YOU,하이라이트(Highlight),38545,2017
90,HAPPY MOMENT,우주소녀,38368,2017
91,The 5th Mini Album Repackage `RAINBOW`,여자친구 (GFRIEND),37474,2017
92,종현 소품집 `이야기 Op.2`,종현 (JONGHYUN),37119,2017
93,From. 우주소녀,우주소녀,36441,2017
94,AOA 1st Album ANGEL`S KNOCK,AOA,35013,2017
95,SIXTEEN,사무엘,34048,2017
96,SF9 First Mini Album 'Burning Sensation',SF9 (에스에프나인),33997,2017
97,Don`t Say No - The 1st Mini Album,서현 (SEOHYUN),33369,2017
98,2 Cool 4 Skool,방탄소년단,33008,2017
99,the.the.the,용국 & 시현,32935,2017
100,SF9 3rd Mini Album 'Knights of the Sun',SF9 (에스에프나인),32864,2017
1,LOVE YOURSELF 結 `Answer`,방탄소년단,2197808,2018
2,LOVE YOURSELF 轉 `Tear`,방탄소년단,1849537,2018
3,DON`T MESS UP MY TEMPO - The 5th Album,EXO,1452030,2018
4,0+1=1 (I PROMISE YOU),Wanna One (워너원),782562,2018
5,1÷χ=1 (UNDIVIDED),Wanna One (워너원),641131,2018
6,1¹¹=1 (POWER OF DESTINY),Wanna One (워너원),605128,2018
7,LOVE SHOT - The 5th Album Repackage,EXO,499849,2018
8,5TH MINI ALBUM `YOU MAKE MY DAY`,세븐틴,389937,2018
9,Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시),363567,2018
10,What is Love?,TWICE,348797,2018
11,LOVE YOURSELF 承 `Her`,방탄소년단,333420,2018
12,Eyes On You,GOT7,332580,2018
13,NCT 2018 EMPATHY,NCT,330335,2018
14,Present : YOU,GOT7,326754,2018
15,YES or YES,TWICE,325761,2018
16,Summer Nights,TWICE,314421,2018
17,NCT #127 Regular-Irregular - The 1st Album,NCT 127,292341,2018
18,"WHO, YOU",뉴이스트 W,250810,2018
19,ARE YOU THERE? - The 2nd Album Take.1,몬스타엑스,239137,2018
20,Poet l Artist,종현 (JONGHYUN),235965,2018
21,SQUARE UP,BLACKPINK,230656,2018
22,We Go Up - The 2nd Mini Album,NCT DREAM,202626,2018
23,The year of `YES`,TWICE,196034,2018
24,COLOR*IZ,IZ*ONE (아이즈원),192738,2018
25,"WAKE,N",뉴이스트 W,191461,2018
26,SPECIAL ALBUM `DIRECTOR`S CUT`,세븐틴,188911,2018
27,`Present : YOU` &ME Edition,GOT7,185641,2018
28,THE CONNECT : DEJAVU,몬스타엑스,175130,2018
29,NCT #127 Regulate - The 1st Album Repackage,NCT 127,157809,2018
30,Summer Magic - Summer Mini Album,레드벨벳(Red Velvet),157323,2018
31,New Chapter #1 : The Chance of Love - The 8th Album,동방신기,146354,2018
32,One More Time - Special Mini Album,슈퍼주니어 (Super Junior),142534,2018
33,화양연화 Young Forever,방탄소년단,129819,2018
34,WINGS,방탄소년단,129787,2018
35,True Colors,JBJ,123502,2018
36,EVERYD4Y,위너(WINNER),121062,2018
37,THIS IS US,비투비 (BTOB),119401,2018
38,Be Myself,황치열,115988,2018
39,3rd MINI ALBUM [THE ONLY],더보이즈(THE BOYZ),115754,2018
40,`The Story of Light` EP.1 - The 6th Album,샤이니 (SHINee),115234,2018
41,REPLAY - The 8th Repackage Album,슈퍼주니어 (Super Junior),114457,2018
42,YOU NEVER WALK ALONE,방탄소년단,111140,2018
43,NEW KIDS : CONTINUE,iKON,109481,2018
44,I am YOU,Stray Kids (스트레이 키즈),107975,2018
45,Return,iKON,105105,2018
46,HOUR MOMENT,비투비 (BTOB),101747,2018
47,`The Story of Light` EP.3 - The 6th Album,샤이니 (SHINee),98998,2018
48,`The Story of Light` EP.2 - The 6th Album,샤이니 (SHINee),97220,2018
49,RBB - The 5th Mini Album,레드벨벳(Red Velvet),94367,2018
50,EAU DE VIXX,빅스 (VIXX),94225,2018
51,New Chapter #2 : The Truth of Love - 15th Anniversary Special Album,동방신기,93238,2018
52,I am WHO,Stray Kids (스트레이 키즈),91648,2018
53,The Perfect Red Velvet - The 2nd Album Repackage,레드벨벳(Red Velvet),91325,2018
54,I am NOT,Stray Kids (스트레이 키즈),86576,2018
55,The 6th Mini Album `Time for the moon night`,여자친구 (GFRIEND),84313,2018
56,TOP SEED,인피니트 (Infinite),80523,2018
57,화양연화 pt.2,방탄소년단,80100,2018
58,Skool Luv Affair,방탄소년단,77291,2018
59,화양연화 pt.1,방탄소년단,72472,2018
60,1¹¹=1 (POWER OF DESTINY) (Kihno),Wanna One (워너원),71783,2018
61,THE BOYZ MINI ALBUM [THE START],더보이즈(THE BOYZ),71585,2018
62,XX,MINO (송민호),71302,2018
63,Something New - The 3rd Mini Album,태연 (TAEYEON),70400,2018
64,VOICE - The 1st Mini Album,온유 (ONEW),69023,2018
65,INVITATION,업텐션 (UP10TION),68420,2018
66,Shoot Me : Youth Part 1,DAY6,65571,2018
67,DARK&WILD,방탄소년단,65537,2018
68,ONE & SIX,에이핑크 (Apink),64030,2018
69,NEW MOON,JBJ,62707,2018
70,WJ PLEASE?,우주소녀,61952,2018
71,MIXTAPE,Stray Kids (스트레이 키즈),60769,2018
72,FACE - The 1st Album,키 (KEY),60053,2018
73,YANG YOSEOP 2ND MINI ALBUM `白`,양요섭,58535,2018
74,NEW KIDS : THE FINAL,iKON,58357,2018
75,Second Write..,남우현,56842,2018
76,SHINHWA TWENTY SPECIAL ALBUM `HEART`,신화,56398,2018
77,Merry & Happy,TWICE,56334,2018
78,1st Album `10 Stories`,김성규,56082,2018
79,Summer Mini Album `Sunny Summer`,여자친구 (GFRIEND),54913,2018
80,[+ +],이달의 소녀,52823,2018
81,Positive,펜타곤 (PENTAGON),52488,2018
82,"O! RUL8 ,2?",방탄소년단,52203,2018
83,1st MINI ALBUM `HOME`,JBJ95,52077,2018
84,MILLIONS,위너(WINNER),52074,2018
85,2 Cool 4 Skool,방탄소년단,51296,2018
86,`The Story of Light` Epilogue - The 6th Album,샤이니 (SHINee),50635,2018
87,Yellow Flower,마마무 (Mamamoo),50574,2018
88,Remember Us : Youth Part 2,DAY6,49721,2018
89,RED MOON,마마무 (Mamamoo),48709,2018
90,Dream your dream,우주소녀,48328,2018
91,1X1=1(TO BE ONE),Wanna One (워너원),48126,2018
92,OUTRO,하이라이트(Highlight),47937,2018
93,1st Single Album [THE SPHERE],더보이즈(THE BOYZ),47470,2018
94,THE GREAT SEUNGRI,승리,46505,2018
95,SIGNAL,TWICE,46328,2018
96,2nd Mini Album [奇跡(기적)],골든차일드,46281,2018
97,BOYHOOD,유앤비 (UNB),46131,2018
98,2ND MINI ALBUM [MATCH UP],MXM (BRANDNEWBOYS),45806,2018
99,BLUE;S,마마무 (Mamamoo),45493,2018
100,SOLO,제니 (JENNIE),45402,2018
1,MAP OF THE SOUL : PERSONA,방탄소년단,3718230,2019
2,3RD ALBUM `An Ode`,세븐틴,858872,2019
3,OBSESSION - The 6th Album,EXO,766294,2019
4,비상 : QUANTUM LEAP,X1 (엑스원),580573,2019
5,BTS WORLD OST,방탄소년단,553364,2019
6,City Lights - The 1st Mini Album,백현 (BAEKHYUN),525935,2019
7,color on me,강다니엘,500134,2019
8,6TH MINI ALBUM `YOU MADE MY DAWN`,세븐틴,475998,2019
9,Time_Slip - The 9th Album,슈퍼주니어 (Super Junior),427647,2019
10,Feel Special,TWICE,413459,2019
11,FANCY YOU,TWICE,394405,2019
12,What a life - The 1st Mini Album,세훈&찬열(EXO-SC),391121,2019
13,LOVE YOURSELF 承 `Her`,방탄소년단,369601,2019
14,LOVE YOURSELF 結 `Answer`,방탄소년단,363570,2019
15,LOVE YOURSELF 轉 `Tear`,방탄소년단,332372,2019
16,We Boom - The 3rd Mini Album,NCT DREAM,327805,2019
17,KILL THIS LOVE,BLACKPINK,324577,2019
18,SPINNING TOP : BETWEEN SECURITY & INSECURITY,GOT7,314948,2019
19,Call My Name,GOT7,298361,2019
20,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,NCT 127,265762,2019
21,HEART*IZ,IZ*ONE (아이즈원),255536,2019
22,WE ARE HERE - The 2nd Album Take.2,몬스타엑스,253456,2019
23,The 6th Mini Album `Happily Ever After`,뉴이스트 (NU`EST),251083,2019
24,`FOLLOW` : FIND YOU,몬스타엑스,226357,2019
25,The 7th Mini Album `The Table`,뉴이스트 (NU`EST),212499,2019
26,꿈의 장: STAR,투모로우바이투게더,203795,2019
27,꿈의 장: MAGIC,투모로우바이투게더,202302,2019
28,Love poem,아이유 (IU),191051,2019
29,"사월, 그리고 꽃 - The 1st Mini Album",첸 (CHEN),187575,2019
30,Cle : LEVANTER,Stray Kids (스트레이 키즈),182300,2019
31,Cle 1 : MIROH,Stray Kids (스트레이 키즈),169319,2019
32,B:COMPLETE,AB6IX (에이비식스),168075,2019
33,SuperM - The 1st Mini Album,SuperM,167640,2019
34,Purpose - The 2nd Album,태연 (TAEYEON),165739,2019
35,TREASURE EP.FIN : All To Action,ATEEZ (에이티즈),165479,2019
36,사랑하는 그대에게 - The 2nd Mini Album,첸 (CHEN),157429,2019
37,`The ReVe Festival` Day 1,레드벨벳(Red Velvet),156993,2019
38,Cle 2 : Yellow Wood,Stray Kids (스트레이 키즈),156048,2019
39,TREASURE EP.3 : One To All,ATEEZ (에이티즈),144234,2019
40,True Colors - The 1st Mini Album,유노윤호 (U-KNOW),143424,2019
41,6IXENSE,AB6IX (에이비식스),141280,2019
42,WINGS,방탄소년단,136013,2019
43,화양연화 Young Forever,방탄소년단,135517,2019
44,2nd Single Album [Bloom Bloom],더보이즈(THE BOYZ),130018,2019
45,WE,위너(WINNER),129783,2019
46,All Light,아스트로(ASTRO),126721,2019
47,IT`z ICY,ITZY (있지),123777,2019
48,YOU NEVER WALK ALONE,방탄소년단,123710,2019
49,BLUE FLAME,아스트로(ASTRO),117925,2019
50,4th MINI ALBUM [DreamLike],더보이즈(THE BOYZ),112458,2019
51,`The ReVe Festival` Day 2,레드벨벳(Red Velvet),111654,2019
52,O'CLOCK,박지훈,109428,2019
53,reality in BLACK,마마무 (Mamamoo),108565,2019
54,WANT - The 2nd Mini Album,태민 (TAEMIN),107578,2019
55,CROSS,위너(WINNER),106537,2019
56,The Four Seasons,황치열,105227,2019
57,`The ReVe Festival` Finale,레드벨벳(Red Velvet),104729,2019
58,Another,김재환,104256,2019
59,360,박지훈,103392,2019
60,S.O.L,이진혁,99530,2019
61,화양연화 pt.2,방탄소년단,97034,2019
62,Skool Luv Affair,방탄소년단,93484,2019
63,The 2nd Album `Time for us`,여자친구 (GFRIEND),93025,2019
64,DANGER - The 3rd Mini Album,SUPER JUNIOR-D&E (동해&은혁),89959,2019
65,My Moment,하성운,87844,2019
66,As you Wish,우주소녀,87219,2019
67,FOCUS,Jus2 (저스투),85461,2019
68,The 7th Mini Album `FEVER SEASON`,여자친구 (GFRIEND),82389,2019
69,화양연화 pt.1,방탄소년단,82065,2019
70,BXXX,하성운,81759,2019
71,SPECIAL ALBUM (For the Summer),우주소녀,78555,2019
72,"2nd EP ALBUM HELLO` Chapter 2. Hello, Strange Place",CIX (씨아이엑스),76037,2019
73,DARK&WILD,방탄소년단,75778,2019
74,nostalgia,VICTON (빅톤),74602,2019
75,"1st EP ALBUM `HELLO` Chapter 1. Hello, Stranger",CIX (씨아이엑스),73790,2019
76,2 Cool 4 Skool,방탄소년단,70023,2019
77,TREASURE EP.2 : Zero To One,ATEEZ (에이티즈),69903,2019
78,White Wind,마마무 (Mamamoo),69832,2019
79,G1,은지원,69397,2019
80,NEW KIDS REPACKAGE : THE NEW KIDS,iKON,68728,2019
81,"O! RUL8 ,2?",방탄소년단,67493,2019
82,MOMENT,김재환,66228,2019
83,The Book of Us : Entropy,DAY6,64454,2019
84,WJ STAY?,우주소녀,64339,2019
85,끝을 받아들이기가 어려워,배진영,63987,2019
86,비상 : QUANTUM LEAP (KiT),X1 (엑스원),62010,2019
87,Pink Magic,예성 (YESUNG),60384,2019
88,The Book of Us : Gravity,DAY6,60013,2019
89,SQUARE UP,BLACKPINK,57332,2019
90,RPM,SF9 (에스에프나인),56850,2019
91,FUN FACTORY,프로미스나인 (fromis_9),56121,2019
92,6th Mini Album [Once upon a time],러블리즈,54419,2019
93,NCT 2018 EMPATHY,NCT,52981,2019
94,1¹¹=1 (POWER OF DESTINY),Wanna One (워너원),52426,2019
95,JINU's HEYDAY,JINU (김진우),51356,2019
96,야호(夜好),엔플라잉 (N.Flying),51237,2019
97,SF9 6th Mini Album `NARCISSUS`,SF9 (에스에프나인),50960,2019
98,What is Love?,TWICE,50877,2019
99,A Walk to Remember - Special Album,윤아 (YOONA),49696,2019
100,너를 만나러 간다 (The day we meet again),규현 (KYUHYUN),49673,2019
1,MAP OF THE SOUL : 7,방탄소년단,4376975,2020
2,BE,방탄소년단,2692022,2020
3,7th Mini Album `헹가래`,세븐틴,1377813,2020
4,NCT RESONANCE Pt. 1 - The 2nd Album,NCT,1289594,2020
5,THE ALBUM,BLACKPINK,1244802,2020
6,Special Album '; [Semicolon]',세븐틴,1122850,2020
7,Delight - The 2nd Mini Album,백현 (BAEKHYUN),971554,2020
8,NCT #127 Neo Zone - The 2nd Album,NCT 127,836779,2020
9,NCT RESONANCE Pt. 2 - The 2nd Album,NCT,791590,2020
10,Skool Luv Affair Special Addition,방탄소년단,670500,2020
11,Reload,NCT DREAM,633593,2020
12,MORE & MORE,TWICE,573431,2020
13,우리家,김호중,539350,2020
14,NCT #127 Neo Zone The Final Round - The 2nd Album Repackage,NCT 127,524224,2020
15,Oneiric Diary (幻想日記),IZ*ONE (아이즈원),515492,2020
16,10억뷰 - The 1st Album,세훈&찬열(EXO-SC),510297,2020
17,Super One,SuperM,504232,2020
18,Eyes wide open,TWICE,479885,2020
19,minisode1 : Blue Hour,투모로우바이투게더,476596,2020
20,BLOOM*IZ,IZ*ONE (아이즈원),465308,2020
21,DYE,GOT7,454293,2020
22,IN生,Stray Kids (스트레이 키즈),440625,2020
23,One-reeler / Act IV,IZ*ONE (아이즈원),431498,2020
24,BORDER : DAY ONE,ENHYPEN,379992,2020
25,ZERO : FEVER Part.1,ATEEZ (에이티즈),379052,2020
26,5th MINI ALBUM [CHASE],더보이즈(THE BOYZ),368911,2020
27,GO生,Stray Kids (스트레이 키즈),364252,2020
28,꿈의 장: ETERNITY,투모로우바이투게더,358514,2020
29,KAI - The 1st Mini Album,카이 (KAI),344246,2020
30,Breath of Love : Last Piece,GOT7,340819,2020
31,MAGENTA,강다니엘,337785,2020
32,SPECIAL EDITION [How You Like That],BLACKPINK,302377,2020
33,Fatal Love,몬스타엑스,278765,2020
34,자화상 - The 1st Mini Album,수호 (SUHO),272698,2020
35,CYAN,강다니엘,266176,2020
36,FANTASIA X,몬스타엑스,264285,2020
37,The Classic Album I - My Favorite Arias,김호중,248480,2020
38,The Classic Album II - My Favorite Songs,김호중,248466,2020
39,THE FIRST STEP : CHAPTER ONE,TREASURE (트레저),247983,2020
40,THE FIRST STEP : CHAPTER TWO,TREASURE (트레저),239326,2020
41,Monster - The 1st Mini Album,레드벨벳-아이린&슬기,232498,2020
42,THE FIRST STEP : CHAPTER THREE,TREASURE (트레저),232134,2020
43,BAD BLOOD - The 4th Mini Album,SUPER JUNIOR-D&E (동해&은혁),226393,2020
44,Not Shy,ITZY (있지),216151,2020
45,MAP OF THE SOUL : PERSONA,방탄소년단,197536,2020
46,The 8th Mini Album `The Nocturne`,뉴이스트 (NU`EST),193509,2020
47,TREASURE EPILOGUE : Action To Answer,ATEEZ (에이티즈),179796,2020
48,NCT RESONANCE Pt. 1 - The 2nd Album (KiT),NCT,175747,2020
49,LOVE YOURSELF 結 `Answer`,방탄소년단,169952,2020
50,TRAVEL,마마무 (Mamamoo),169850,2020
51,LOVE YOURSELF 轉 `Tear`,방탄소년단,167679,2020
52,HIDEOUT: THE NEW DAY WE STEP INTO - SEASON 2.,CRAVITY,166644,2020
53,HIDEOUT: REMEMBER WHO WE ARE - SEASON1.,CRAVITY,154360,2020
54,I trust,(여자)아이들,154016,2020
55,Never Gonna Dance Again : Act 1 - The 3rd Album,태민 (TAEMIN),153926,2020
56,IT'z ME,ITZY (있지),153037,2020
57,푸르게 빛나던 우리의 계절 (When We Were Us) - The 1st Mini Album,슈퍼주니어-K.R.Y. (Super Junior-K.R.Y.),151153,2020
58,LOVE YOURSELF 承 `Her`,방탄소년단,150656,2020
59,1ST MINI ALBUM Part. 1 [Love Synonym #1 : Right for Me],원호 (WONHO),146068,2020
60,NCT RESONANCE Pt. 2 - The 2nd Album (KiT),NCT,145146,2020
61,EQUAL,WOODZ (조승연),143791,2020
62,VIVID,AB6IX (에이비식스),139900,2020
63,덤디덤디 (DUMDi DUMDi),(여자)아이들,124815,2020
64,화양연화 Young Forever,방탄소년단,123591,2020
65,Never Gonna Dance Again : Act 2 - The 3rd Album,태민 (TAEMIN),123441,2020
66,REVEAL,더보이즈(THE BOYZ),121621,2020
67,TIMELESS - The 9th Album Repackage,슈퍼주니어 (Super Junior),121293,2020
68,WINGS,방탄소년단,119148,2020
69,FIRST COLLECTION,SF9 (에스에프나인),117785,2020
70,1ST DESIRE [GREED],김우석,117570,2020
71,[12:00],이달의 소녀,114503,2020
72,Remember,위너(WINNER),114466,2020
73,애요,김재중,114286,2020
74,YOU NEVER WALK ALONE,방탄소년단,113191,2020
75,WE:TH,펜타곤 (PENTAGON),110801,2020
76,Chocolate - The 1st Mini Album,최강창민 (MAX CHANGMIN),109203,2020
77,LIVED,원어스(ONEUS),108862,2020
78,Awaken The World - The 1st Album,WayV,107773,2020
79,SALUTE,AB6IX (에이비식스),106682,2020
80,9loryUS,SF9 (에스에프나인),105874,2020
81,Neverland,우주소녀,105056,2020
82,5th Mini Album [Dystopia : Lose Myself],드림캐쳐,99746,2020
83,What Do I Call You - The 4th Mini Album,태연 (TAEYEON),99065,2020
84,2nd Single Album [Pump It Up],골든차일드,98239,2020
85,KILL THIS LOVE,BLACKPINK,98035,2020
86,7th Mini Album [GATEWAY],아스트로(ASTRO),97991,2020
87,TAKE,MINO (송민호),97577,2020
88,화양연화 pt.2,방탄소년단,97139,2020
89,Mayday,VICTON (빅톤),95850,2020
90,Continuous,VICTON (빅톤),95709,2020
91,WOOPS!,WOODZ (조승연),95531,2020
92,回:Song of the Sirens,여자친구 (GFRIEND),90242,2020
93,3RD ALBUM `An Ode`,세븐틴,89260,2020
94,Fame,한승우,86063,2020
95,The Book of Us : The Demon,DAY6,85898,2020
96,SPIT IT OUT,솔라,84951,2020
97,The W,박지훈,84769,2020
98,Skool Luv Affair,방탄소년단,84755,2020
99,화양연화 pt.1,방탄소년단,84641,2020
100,回:LABYRINTH,여자친구 (GFRIEND),82760,2020
1,Butter,방탄소년단,2999407,2021
2,Sticker - The 3rd Album,NCT 127,2427559,2021
3,맛 (Hot Sauce) - The 1st Album,NCT DREAM,2097185,2021
4,9th Mini Album `Attacca`,세븐틴,2059073,2021
5,Universe - The 3rd Album,NCT,1630715,2021
6,8th Mini Album `Your Choice`,세븐틴,1462405,2021
7,DON`T FIGHT THE FEELING - Special Album,EXO,1326189,2021
8,NOEASY,Stray Kids (스트레이 키즈),1303106,2021
9,DIMENSION : DILEMMA,ENHYPEN,1205949,2021
10,BE,방탄소년단,1049496,2021
11,Hello Future - The 1st Album Repackage,NCT DREAM,1025005,2021
12,Bambi - The 3rd Mini Album,백현 (BAEKHYUN),996850,2021
13,Favorite - The 3rd Album Repackage,NCT 127,934986,2021
14,혼돈의 장 : FREEZE,투모로우바이투게더,877917,2021
15,BORDER : CARNIVAL,ENHYPEN,788451,2021
16,혼돈의 장: FIGHT OR ESCAPE,투모로우바이투게더,775121,2021
17,Christmas EveL,Stray Kids (스트레이 키즈),743047,2021
18,ZERO : FEVER Part.3,ATEEZ (에이티즈),737124,2021
19,Formula of Love: O+T=<3,TWICE,714955,2021
20,LALISA,리사 (LISA),708475,2021
21,6TH MINI ALBUM [THRILL-ING],더보이즈(THE BOYZ),642992,2021
22,3rd Single Album [MAVERICK],더보이즈(THE BOYZ),642369,2021
23,Savage - The 1st Mini Album,aespa,574445,2021
24,Taste of Love,TWICE,559093,2021
25,R,로제 (ROSE),516915,2021
26,ZERO : FEVER Part.2,ATEEZ (에이티즈),514515,2021
27,CRAZY IN LOVE,ITZY (있지),500124,2021
28,LOVE YOURSELF 轉 `Tear`,방탄소년단,458050,2021
29,The Renaissance - The 10th Album,슈퍼주니어 (Super Junior),442742,2021
30,NO LIMIT,몬스타엑스,424618,2021
31,LOVE YOURSELF 結 `Answer`,방탄소년단,411822,2021
32,ZERO: FEVER EPILOGUE,ATEEZ (에이티즈),407165,2021
33,5th Album `LILAC`,아이유 (IU),402864,2021
34,NCT RESONANCE Pt. 2 - The 2nd Album,NCT,393900,2021
35,LOVE YOURSELF 承 `Her`,방탄소년단,391160,2021
36,공감 - The 1st Mini Album,디오 (D.O.),380178,2021
37,Queendom - The 6th Mini Album,레드벨벳(Red Velvet),363602,2021
38,All Yours,아스트로(ASTRO),360911,2021
39,MAP OF THE SOUL : PERSONA,방탄소년단,358154,2021
40,One Of A Kind,몬스타엑스,352734,2021
41,MAP OF THE SOUL : 7,방탄소년단,345192,2021
42,GUESS WHO,ITZY (있지),339940,2021
43,THE FIRST STEP : TREASURE EFFECT,TREASURE (트레저),331320,2021
44,YELLOW,강다니엘,320114,2021
45,SWITCH ON,아스트로(ASTRO),310979,2021
46,Don`t Call Me - The 7th Album,샤이니 (SHINee),307859,2021
47,Kick Back - The 3rd Mini Album,WayV,276132,2021
48,Hello Future - The 1st Album Repackage (KiT),NCT DREAM,269641,2021
49,ELEVEN,IVE (아이브),268396,2021
50,Peaches - The 2nd Mini Album,카이 (KAI),265201,2021
51,Favorite - The 3rd Album Repackage (KiT),NCT 127,230350,2021
52,I burn,(여자)아이들,219409,2021
53,TURN OVER,SF9 (에스에프나인),217201,2021
54,The 2nd Album 'Romanticize',뉴이스트 (NU`EST),205972,2021
55,NCT 2018 EMPATHY,NCT,199062,2021
56,THE ALBUM,BLACKPINK,190729,2021
57,BORDER : DAY ONE,ENHYPEN,189832,2021
58,화양연화 Young Forever,방탄소년단,186595,2021
59,WINGS,방탄소년단,184418,2021
60,YOU NEVER WALK ALONE,방탄소년단,184398,2021
61,1ST ALBUM PART 1 [The Awakening: Written In The Stars],CRAVITY,181291,2021
62,RUMINATION,SF9 (에스에프나인),179581,2021
63,NOIR - The 2nd Mini Album,유노윤호 (U-KNOW),178643,2021
64,BLOOD MOON ,원어스(ONEUS),177877,2021
65,HIDEOUT: BE OUR VOICE - SEASON 3.,CRAVITY,176511,2021
66,Like Water - The 1st Mini Album,웬디 (WENDY),172598,2021
67,화양연화 pt.2,방탄소년단,166566,2021
68,STEREOTYPE,STAYC(스테이씨),166529,2021
69,minisode1 : Blue Hour,투모로우바이투게더,161879,2021
70,3RD ALBUM `An Ode`,세븐틴,153073,2021
71,2nd Album [Game Changer],골든차일드,148177,2021
72,Atlantis - The 7th Album Repackage,샤이니 (SHINee),147023,2021
73,"그리움, 아낌없이 주는 나무",정동원,144576,2021
74,MUST,2PM,143480,2021
75,Advice - The 3rd Mini Album,태민 (TAEMIN),136370,2021
76,WAW,마마무 (Mamamoo),135165,2021
77,riBBon,뱀뱀 (BamBam),134845,2021
78,화양연화 pt.1,방탄소년단,132293,2021
79,We Boom - The 3rd Mini Album,NCT DREAM,129803,2021
80,Dystopia : Road to Utopia,드림캐쳐,129797,2021
81,[Summer Holiday],드림캐쳐,129715,2021
82,[&],이달의 소녀,128517,2021
83,BAD LOVE - The 1st Mini Album,키 (KEY),128448,2021
84,IN生,Stray Kids (스트레이 키즈),125570,2021
85,"O! RUL8 ,2?",방탄소년단,125217,2021
86,DEVIL,원어스(ONEUS),123380,2021
87,DARK&WILD,방탄소년단,122505,2021
88,Skool Luv Affair,방탄소년단,121285,2021
89,KILL THIS LOVE,BLACKPINK,120001,2021
90,2 Cool 4 Skool,방탄소년단,115160,2021
91,LOVE or TAKE,펜타곤 (PENTAGON),114355,2021
92,VOICE : The future is now,VICTON (빅톤),114245,2021
93,NCT RESONANCE Pt. 2 - The 2nd Album (KiT),NCT,114093,2021
94,5th Mini Album [YES.],골든차일드,113966,2021
95,GO生,Stray Kids (스트레이 키즈),113463,2021
96,The Blowing,하이라이트(Highlight),111968,2021
97,..선물,이찬원,111817,2021
98,Dear OHMYGIRL,오마이걸 (OH MY GIRL),111804,2021
99,SUMMER POPUP ALBUM [POPPING],온앤오프 (ONF),111696,2021
100,PAGE,강승윤,111497,2021
